order_id,product_name,category,quantity,price,cost,order_date,region
ORD-0001,Whey Protein 1kg,Health,2,44.99,18.0,2024-12-25,East
ORD-0002,Ergonomic Chair,Furniture,10,299.0,145.0,2024-11-01,East
ORD-0003,LED Desk Lamp,Lighting,7,34.99,14.0,2024-07-16,East
ORD-0004,Monitor Stand,Furniture,3,49.99,20.0,2024-10-29,East
ORD-0005,Water Bottle 1L,Health,7,14.99,5.0,2024-06-08,East
ORD-0006,Mechanical Keyboard,Electronics,7,89.99,38.0,2024-08-25,Central
ORD-0007,Ballpoint Pens (12pk),Stationery,8,6.99,1.8,2024-11-03,South
ORD-0008,USB-C Hub,Electronics,8,39.99,15.0,2024-02-03,Central
ORD-0009,LED Desk Lamp,Lighting,1,34.99,14.0,2024-12-29,Central
ORD-0010,Desk Organizer,Stationery,6,19.99,7.0,2024-12-13,East
ORD-0011,Whey Protein 1kg,Health,1,44.99,18.0,2024-07-12,Central
ORD-0012,Monitor Stand,Furniture,6,49.99,20.0,2024-12-28,West
ORD-0013,Desk Organizer,Stationery,10,19.99,7.0,2024-10-21,East
ORD-0014,Smart Bulb Pack,Lighting,9,24.99,9.0,2024-04-24,North
ORD-0015,USB-C Hub,Electronics,3,39.99,15.0,2024-03-03,South
ORD-0016,Webcam HD,Electronics,1,69.99,28.0,2024-08-06,West
ORD-0017,Webcam HD,Electronics,1,69.99,28.0,2024-03-09,North
ORD-0018,Smart Bulb Pack,Lighting,1,24.99,9.0,2024-01-30,East
ORD-0019,Whey Protein 1kg,Health,5,44.99,18.0,2024-05-24,Central
ORD-0020,Water Bottle 1L,Health,4,14.99,5.0,2024-05-11,East
ORD-0021,Yoga Mat,Health,9,29.99,11.0,2024-12-28,West
ORD-0022,Webcam HD,Electronics,10,69.99,28.0,2024-07-15,North
ORD-0023,Desk Organizer,Stationery,6,19.99,7.0,2024-10-23,North
ORD-0024,Standing Desk,Furniture,2,349.0,180.0,2024-11-21,South
ORD-0025,Water Bottle 1L,Health,1,14.99,5.0,2024-08-31,South
ORD-0026,Monitor Stand,Furniture,8,49.99,20.0,2024-02-11,Central
ORD-0027,Water Bottle 1L,Health,7,14.99,5.0,2024-09-08,East
